reads.in	reads.out	percentage_retained
HR19_32_15_S38_R1_001.fastq.gz	932	58	6.22317596566524
HR19_32_20_S341_R1_001.fastq.gz	41729	29922	71.7055285293201
HR19_34_01_S37_R1_001.fastq.gz	51514	34571	67.1099118686182
HR19_34_02_S47_R1_001.fastq.gz	41689	27468	65.8878840941256
HR19_34_03_S80_R1_001.fastq.gz	53650	24105	44.9301025163094
HR19_34_04_S51_R1_001.fastq.gz	63800	41183	64.5501567398119
HR19_34_05_S27_R1_001.fastq.gz	55645	37074	66.625932249079
HR19_34_06_S23_R1_001.fastq.gz	45174	29739	65.8321158188338
HR19_36_01_S375_R1_001.fastq.gz	44622	29305	65.6738828380619
HR20_04_04_S221_R1_001.fastq.gz	48140	30846	64.0756127960116
HR20_22_01_S339_R1_001.fastq.gz	55940	36612	65.4486950303897
HR20_33_05_S338_R1_001.fastq.gz	46887	31848	67.9250111971335
HR20_33_08_S42_R1_001.fastq.gz	55183	37166	67.3504521319972
HR20_33_10_S46_R1_001.fastq.gz	47147	31431	66.6659596580907
HR23_18_01_S330_R1_001.fastq.gz	46744	33849	72.4135717953106
HR24_18_13_S146_R1_001.fastq.gz	49793	31521	63.3040788865905
HR3_23_04_S22_R1_001.fastq.gz	42003	24476	58.2720281884627
HR3_32_07_S82_R1_001.fastq.gz	41865	29107	69.5258569210558
HR6_12C_03_S217_R1_001.fastq.gz	49628	32098	64.6771983557669
HR6_23_02_S271_R1_001.fastq.gz	30819	15469	50.1930627210487
HR6_24_01_S348_R1_001.fastq.gz	47863	34910	72.9373419969496
HR6_24_05_S88_R1_001.fastq.gz	31344	10181	32.4814956610516
HR6_28_02_S69_R1_001.fastq.gz	51159	34407	67.2550284407436
HR6_28_05_S119_R1_001.fastq.gz	61521	43275	70.3418344955381
HR6_36_01_S378_R1_001.fastq.gz	55839	40216	72.0213470871613
HR6_36_03_S381_R1_001.fastq.gz	33809	22329	66.0445443520956
HR6_36_03A_S66_R1_001.fastq.gz	49161	35157	71.5140050039666
HR7_04_02_S334_R1_001.fastq.gz	43576	28982	66.5090875711401
HR7_05A_01_S84_R1_001.fastq.gz	40157	21604	53.7988395547476
HR7_07A_06_S189_R1_001.fastq.gz	44913	30648	68.2385946162581
HR7_12C_04_S55_R1_001.fastq.gz	51579	32606	63.2156497799492
