site,round,period,sample_id,year,barcode_id,active_flower,final_id,notes,gut_plate,subsite,lat,long,sample_point,julian_date
HR,10,5,10_HR07A,2022,HR10_07A_02,SOAR,B. impatiens,,bcparasite04_A8,harvieroad3,49.1534589,-122.7224307,HR07A,232
HR,9,5,9_HR33,2022,HR9_33_01,TAVU,B. impatiens,,bcparasite04_B8,harvieroad3,49.1479665,-122.730115,HR33,228
NR,7,4,7_NR14A,2022,NR7_14A_02,TRHY,B. impatiens,,bcparasite04_A12,nicomekl4,49.0803908,-122.7595179,NR14A,213
NR,3,2,3_NR29,2022,NR3_29_03,RUAR,B. impatiens,,bcparasite04_B12,nicomekl4,49.0749252,-122.7620714,NR29,171
ED,8,4,8_ED28A,2022,ED8_28A_01,TRRE,B. impatiens,,bcparasite05_B1,eastdelta1,49.1007889,-122.9346452,ED28A,220
ED,10,5,10_ED32,2022,ED10_32_01,TRRE,B. impatiens,,bcparasite05_C2,eastdelta4,49.0910852,-122.9303897,ED32,233
ED,8,4,8_ED20A,2022,ED8_20A_02,SPDO,B. impatiens,,bcparasite05_D4,eastdelta1,49.1046332,-122.9294281,ED20A,220
NR,6,3,6_NR01,2022,NR6_01_02,CHAN,B. impatiens,,bcparasite05_H3,nicomekl2,49.089725,-122.7790482,NR01,203
HR,9,5,9_HR20A,2022,HR9_20A_03,ERHU,B. impatiens,,bcparasite05_A4,harvieroad1,49.1607689,-122.7016926,HR20A,228
HR,9,5,9_HR03,2022,HR9_03_01,TRRE,B. impatiens,,bcparasite05_B4,harvieroad3,49.1515935,-122.7194854,HR03,228
ED,6,3,6_ED22A,2022,ED6_22A_02,TRRE,B. impatiens,,bcparasite05_C4,eastdelta2,49.1028989,-122.9460592,ED22A,202
ED,7,4,7_ED01,2022,ED7_01_01,TRHY,B. impatiens,,bcparasite05_A5,eastdelta3,49.0954133,-122.9487118,ED01,210
ED,9,5,9_ED01,2022,ED9_01_06,TRHY,B. impatiens,,bcparasite05_H7,eastdelta3,49.0954133,-122.9487118,ED01,227
ED,10,5,10_ED21A,2022,ED10_21A_02,RARA,B. impatiens,,bcparasite05_B6,eastdelta1,49.1046683,-122.9321746,ED21A,233
