row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
PM20_55_01	33266	25028	25006	24978	24753	24718	14707	0.141397002383542	40.5008495832996	44.2103048157278
PM20_56_01	34759	27680	27537	27551	25569	25387	21231	0.711799444639993	16.3705833694411	61.080583446014
PM20_67_03	36651	21089	20978	21043	20687	20675	20565	0.0580074442886911	0.532043530834329	56.110338053532
PM20_69_01	41755	33072	33049	33041	32691	32681	32622	0.0305894588724698	0.180533031424986	78.1271703987546
PM20_70_01	38729	27695	27658	27565	26480	26455	24713	0.0944108761329403	6.58476658476658	63.810064809316
PM20_70_03	33612	14326	14300	14271	13989	13984	13942	0.0357423690042253	0.300343249427911	41.4792336070451
PM21_49_02	41807	30738	30722	30726	21877	21877	20887	0	4.52530054395027	49.9605329251082
PM21_65_03	36439	29508	29456	29457	29005	28756	28164	0.858472677124638	2.05870079287801	77.2908147863553
PM21_69_02	49784	38310	38280	38289	37977	37945	23532	0.0842615267135329	37.983924100672	47.2681986180299
PM21_70_03	33523	22633	22576	22588	19999	19979	19821	0.100005000250007	0.790830371890479	59.1265698177371
PM21_70_06	31536	19559	19483	19513	18747	18729	16930	0.0960153624579902	9.60542474237813	53.6846778285135
PM22_47_01	34326	27027	27011	26998	26698	26682	26658	0.0599295827402813	0.0899482797391471	77.6612480335606
PM22_53A_01	34772	27977	27884	27601	26986	26952	26521	0.125991254724667	1.59913921044821	76.2711376969976
PM23_55_01	49673	39941	39829	39824	37420	37168	35104	0.673436664885088	5.55316401205339	70.6701829967991
PM23_56_02	24107	9798	9711	9728	2881	2881	2820	0	2.11732037486983	11.6978470983532
PM23_71_01	36075	21822	21813	21797	20780	20750	15729	0.144369586140527	24.1975903614458	43.6008316008316
PM24_65_05	33606	24868	24692	24772	24248	24161	23722	0.35879247773012	1.81697777409875	70.5885853716598
PM24_70_05	35878	22109	22045	22073	20435	20391	20175	0.215316858331292	1.0592908636163	56.2322314510285
PM24_70_06	38510	21268	21145	21109	18543	18384	17297	0.857466429380366	5.91275021758051	44.9156063360166
PM24_70_08	38780	24486	24449	24393	21890	21825	21720	0.296939241662869	0.481099656357387	56.0082516761217
PM24_70_11	37333	26887	26754	26840	25064	24848	24585	0.861793807851896	1.05843528654218	65.8532665470227
PM25_70_06	38280	24520	24428	24446	14845	14808	14732	0.249242169080503	0.513236088600749	38.4848484848485
PM25_70_08	45026	29451	29138	29193	15439	15129	13084	2.007902066196	13.5170863903761	29.0587660462844
PM25_70_10	34100	23320	23296	23263	21424	21414	20717	0.0466766243465315	3.2548799850565	60.7536656891496
PM25_70_12	41878	28547	28296	28497	25018	24816	24026	0.807418658565823	3.18343004513217	57.3714121973351
PM25_70_13	37887	28899	28814	28839	24508	24333	19359	0.714052554267994	20.441375909259	51.0966822392905
PM25_70_14	33694	16448	16275	16330	5256	5233	4907	0.43759512937595	6.22969615899102	14.5634237549712
PM25_70_15	41226	28513	28476	28489	26968	26936	23866	0.118659151587067	11.3973863973864	57.8906515305875
PM3_52_03	37771	20179	20098	20119	17131	17104	15112	0.157609012900593	11.6463985032741	40.0095311217601
PM3_53_01	40980	30364	30241	30193	28661	28503	22623	0.551271763022925	20.6294074307968	55.2049780380674
PM3_53_02	39880	27995	27960	27567	26131	26125	23804	0.0229612337836187	8.8842105263158	59.6890672016048
PM3_53_06	41153	30217	30158	30158	28961	28887	26251	0.255516038810811	9.12521203309447	63.7887881806916
